demand,expired_items,stock,in_transit,lost_sales,satisfied_demand,orders,average_reward,reward_std,config_details,avg_reward,std_reward
2.425,0.0,3.405,5.640000000000001,0.16499999999999998,2.26,2.94,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3_base_stock_level_7,-0.2355,0.13547970327691158
2.31,0.0,3.875,5.610000000000001,0.11500000000000002,2.1950000000000003,2.92,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3_base_stock_level_7,-0.23350000000000004,0.0901263002680128
2.33,0.0,3.7599999999999993,5.615,0.125,2.2049999999999996,2.93,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3_base_stock_level_7,-0.2325,0.12569307856839215
2.33,0.0,3.7599999999999993,5.615,0.125,2.2049999999999996,2.93,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3_base_stock_level_7,-0.2325,0.12569307856839215
2.33,0.0,3.7599999999999993,5.615,0.125,2.2049999999999996,2.93,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3_base_stock_level_7,-0.2325,0.12569307856839215
3.0800000000000005,0.0,3.1499999999999995,5.225,0.8600000000000001,2.2199999999999998,2.665,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3_base_stock_level_7,-0.9189999999999999,0.21400700923100624
