config_details,average_reward,reward_std
m_3_L_3_Alpha_0_beta_0_p1_20_p2_0_c_0_h_1_b1_10_b2_0_w_3_mean_demand_3_coef_of_var_0.3_total_timesteps_200000_num_episodes_1000,2.9299,0.7019365997011412
m_3_L_4_Alpha_0_beta_0_p1_20_p2_0_c_0_h_1_b1_10_b2_0_w_3_mean_demand_3_coef_of_var_0.3_total_timesteps_200000_num_episodes_1000,2.0995999999999997,0.6207059207064164
m_3_L_5_Alpha_0_beta_0_p1_20_p2_0_c_0_h_1_b1_10_b2_0_w_3_mean_demand_3_coef_of_var_0.3_total_timesteps_200000_num_episodes_1000,1.2563,0.5414307989023158
m_4_L_2_Alpha_0_beta_0_p1_20_p2_0_c_0_h_1_b1_10_b2_0_w_3_mean_demand_3_coef_of_var_0.3_total_timesteps_200000_num_episodes_1000,3.8658000000000006,0.612521313914871
m_5_L_2_Alpha_0_beta_0_p1_20_p2_0_c_0_h_1_b1_10_b2_0_w_3_mean_demand_3_coef_of_var_0.3_total_timesteps_200000_num_episodes_1000,3.8676000000000004,0.6170998622589378
m_6_L_2_Alpha_0_beta_0_p1_20_p2_0_c_0_h_1_b1_10_b2_0_w_3_mean_demand_3_coef_of_var_0.3_total_timesteps_200000_num_episodes_1000,3.8582000000000005,0.6166544899698696
m_4_L_2_Alpha_0_beta_0_p1_20_p2_0_c_0_h_1_b1_10_b2_0_w_3_mean_demand_3_coef_of_var_0.3_total_timesteps_200000_num_episodes_10000_done_10,3.7817000000000003,0.6461873644694701
m_4_L_2_Alpha_0_beta_0_p1_20_p2_0_c_0_h_1_b1_10_b2_0_w_3_mean_demand_3_coef_of_var_0.3_total_timesteps_200000_num_episodes_1000_done_10,3.8416,0.6263828222421174
m_4_L_2_Alpha_0_beta_0_p1_20_p2_0_c_0_h_1_b1_10_b2_0_w_3_mean_demand_3_coef_of_var_0.3_total_timesteps_200000_num_episodes_10_done_10,3.7943000000000007,0.6066996868303131
